IRISH SEA COD Discard NO
1 2
1968 2017
0 6
1
17.81	74.71	0	0	0	0	0
20.85	87.45	0	0	0	0	0
22.13	92.83	0	0	0	0	0
22.94	96.2	0	0	0	0	0
26.51	111.18	0	0	0	0	0
27.17	113.96	0	0	0	0	0
16.94	71.04	0	0	0	0	0
26.38	110.62	0	0	0	0	0
26.77	112.28	0	0	0	0	0
31.05	130.23	0	0	0	0	0
39.96	167.57	0	0	0	0	0
44.35	185.98	0	0	0	0	0
24.6	103.16	0	0	0	0	0
37.67	157.97	0	0	0	0	0
46.04	193.1	0	0	0	0	0
46.98	197.05	0	0	0	0	0
37.3	156.45	0	0	0	0	0
33.89	142.12	0	0	0	0	0
49.15	206.15	0	0	0	0	0
47.38	198.69	0	0	0	0	0
42.59	178.64	0	0	0	0	0
41.03	172.09	0	0	0	0	0
37.85	158.74	0	0	0	0	0
46.64	195.61	0	0	0	0	0
36.74	154.1	0	0	0	0	0
39.4	165.24	0	0	0	0	0
39.92	167.44	0	0	0	0	0
42.97	180.2	0	0	0	0	0
87.95	128.79	0	0	0	0	0
5.28	127.79	0.5	0	0	0	0
0	27.47	2	0	0	0	0
141.42	165.79	0	0	0	0	0
62.36	817.69	0	0	0	0	0
7.22	65.15	0	0	0	0	0
0	42.49	0	0	0	0	0
50.43	75.68	32.62	15.83	1.25	0.13	0
50.43	92.78	32.81	15.83	1.25	0.13	0
50.43	76.34	32.36	15.83	1.25	0.13	0
50.43	75.08	32	15.83	1.25	0.13	0
16	167	4.6	0	0	0	0
5.5	63.4	3.4	0	0	0	0
329.3	39.8	4.4	0.1	0	0	0
48.7	180	60.3	1.4	0.5	0.1	0
9.7	42.7	0.9	0	0	0	0
7.5	79.9	100.2	112.9	5.9	0.2	0
36.1	31	26.5	11	2	0.5	0
1.09	34.66	41.93	10.3	1.53	0.1	0
0	37.3	45.8	6.8	1.3	0.3	0
0	9.84	14.15	13.45	0.91	0.74	0
0.43    9.85    7.88    8.098   0.566   0.089   0.097
