"","year","catch","index1","index2","index3","index4","index5"
"1",1981,14325.4428,NA,NA,NA,NA,NA
"2",1982,19365.53142,NA,NA,NA,NA,NA
"3",1983,22256.53497,NA,NA,NA,NA,NA
"4",1984,20476.1541,NA,NA,NA,NA,NA
"5",1985,17719.31738,NA,5576,NA,NA,NA
"6",1986,11127.19891,NA,3472.1,NA,NA,NA
"7",1987,23459.93825,NA,8756,NA,NA,NA
"8",1988,19481.00532,NA,4926.6,NA,NA,NA
"9",1989,13399.15858,NA,2289,NA,NA,NA
"10",1990,10172.484,NA,2791.2,NA,NA,NA
"11",1991,11541.14426,NA,3848.3,NA,NA,NA
"12",1992,15253.23206,NA,7375,NA,NA,NA
"13",1993,11631.13392,NA,13137.6,NA,NA,NA
"14",1994,9355.615165,NA,10789.2,NA,NA,NA
"15",1995,11849.27469,NA,10046,NA,NA,NA
"16",1996,15097.81675,NA,12763.3,3839,NA,3839
"17",1997,11541.69633,NA,10111.2,4361,NA,4361
"18",1998,13842.92459,NA,11755.5,4108.6,NA,4108.6
"19",1999,8588.009335,NA,11685.8,3119,NA,3119
"20",2000,16295.92342,NA,13540.2,5021.9,NA,5021.9
"21",2001,6701.800816,NA,6899.5,3586,NA,3586
"22",2002,4618.319234,NA,7638.9,2734.6,NA,2734.6
"23",2003,2074.147814,8882.8,8450,4465,NA,4465
"24",2004,2970.05508,2291,7827,2901,NA,2901
"25",2005,969.561748,2158.8,2269,715.3,NA,715.3
"26",2006,1326.553407,882.1,2268.6,581.8,NA,581.8
"27",2007,744.582579,2881.7,1358.2,990.9,NA,990.9
"28",2008,759.391318,3512.3,833.8,451.2,NA,451.2
"29",2009,907.57998,1251.3,1529.7,539.3,NA,539.3
"30",2010,1199.798891,5537.8,4067.5,NA,NA,NA
"31",2011,568.796891,5409.5,NA,NA,2648.532,NA
"32",2012,1039.333187,5006.3,NA,NA,4563.544,NA
"33",2013,1173.142695,3482.5,NA,NA,2418.509,NA
"34",2014,767.3456,12533.1,NA,NA,6366.707,NA
"35",2015,1062.614957,19832.9,NA,NA,3971.376,NA
"36",2016,1029.763015,16760.7,NA,NA,7561.418,NA
"37",2017,1383.377278,5670.6,NA,NA,8942.371,NA
